<p>Cuál de las siguientes NO ES una estructura de negocio descrita en el capítulo 2?</p>,1,"one, shuffle","<p>Las estructuras de negocio descritas en el capítulo 2 incluyen el propietario único, las sociedades, las corporaciones y las compañías de responsabilidad limitada (LLC). Otras formas de estructuras de negocios no se mencionan en este capítulo. Consulta el Capítulo 2, páginas 2-1, 2-2, 2-3, 2-4.</p>"
,<p>Propietario único.</p>,,
,<p>Compañía de responsabilidad limitada (LLC).</p>,,
*,<p>Corporación de responsabilidad personal.</p>,,
,<p>Sociedades.</p>,,
<p>Cuál es una ventaja de establecer un negocio como propietario único?</p>,1,"one, shuffle","<p>Una ventaja de ser propietario único es que permite un control total y responsabilidad directa sobre el negocio, facilitando decisiones rápidas. Consulta el Capítulo 2, página 2-1.</p>"
,<p>Mayor facilidad para obtener financiamiento.</p>,,
*,<p>Libertad en el proceso de toma de decisiones.</p>,,
,<p>Protección legal limitada.</p>,,
,<p>Responsabilidad compartida.</p>,,
<p>Cuál de las siguientes no es una ventaja de las corporaciones en general?</p>,1,"one, shuffle","Las corporaciones en general ofrecen ventajas como la responsabilidad limitada y la facilidad para transferir propiedad. Sin embargo, una desventaja notable es la complejidad en la administración. Consulta el Capítulo 2, página 2-3."
,<p>Entidad comercial separada.</p>,,
,<p>Transferencia de propiedad a través de la venta de acciones.</p>,,
,<p>Responsabilidad limitada para los accionistas.</p>,,
*,<p>Complejidad en la administración.</p>,,
<p>Cuál es una característica de las sociedades?</p>,1,"one, shuffle","Una sociedad es una entidad donde dos o más personas comparten la propiedad y operación del negocio. Cada socio es responsable de las deudas y obligaciones del negocio. Consulta el Capítulo 2, página 2-2."
*,<p>Relación entre dos o más personas que se unen para llevar a cabo un oficio o negocio.</p>,,
,<p>Responsabilidad limitada para los socios.</p>,,
,<p>Facilidad para transferir propiedad.</p>,,
,<p>Protección de activos personales.</p>,,
<p>Qué ventaja tiene una corporación de tipo S?</p>,1,"one, shuffle","Una corporación de tipo S permite a los accionistas evitar la doble imposición de los ingresos, ya que los ingresos y las pérdidas se pasan directamente a los accionistas y se reportan en sus declaraciones de impuestos personales. Consulta el Capítulo 2, página 2-4."
,<p>Mayor facilidad para obtener financiamiento.</p>,,
,<p>Menor complejidad administrativa.</p>,,
*,<p>Puede evitar pagar impuestos dos veces.</p>,,
,<p>Responsabilidad ilimitada para los propietarios.</p>,,
<p>Cuál de las siguientes NO ES una característica de un propietario único?</p>,1,"one, shuffle","Un propietario único es el único responsable de todas las decisiones y obligaciones del negocio. No comparte la propiedad ni la responsabilidad con otros. Consulta el Capítulo 2, página 2-1."
