<p>Que requiere el pago por horas trabajadas bajo la Ley de Normas Justas de Trabajo (FLSA)?</p>,1,"one, shuffle","<p>La FLSA requiere tiempo compesatorio. El tiempo compensatorio, otiempo ""comp"", es tiempo libre en lugar del pago de salarios por tiempo extra trabajado. Consulta el Capítulo 3, Leyes laborales fundamentales, página 3-5.</p>"
*,<p>Tiempo compensatorio.</p>,,
,<p>Establecer un salario mínimo para cada día.</p>,,
,<p>Proporcionar seguro médico.</p>,,
,<p>Clasificar empleados como exentos o no exentos de pago.</p>,,
<p>Cuál de las siguientes NO ES una característica de la Ley de Normas Justas de Trabajo (FLSA)?</p>,1,"one, shuffle","<p>La FLSA establece estándares para el salario mínimo, el pago por horas extras y el mantenimiento de registros, pero no regula las vacaciones pagadas. Consulta el Capítulo 3, Leyes laborales fundamentales, página 3-4.</p>"
,<p>Los salarios deben pagarse en el día de pago regular para el período de pago.</p>,,
,<p>Semana laboral definida según la FLSA.</p>,,
*,<p>Regula las vacaciones pagadas.</p>,,
,<p>Horario de trabajo definido según la FLSA.</p>,,
<p>Qué establece la Ley de Normas Justas de Trabajo (FLSA) en relación con las horas extras?</p>,1,"one, shuffle","<p>A menos que el empleado esté exento, debe pagarse como tiempo extra cualquier hora trabajada por encima de 40 horas en una semana laboral. Capítulo 3, Leyes laborales fundamentales, página 3-5.</p>"
*,<p>Cuándo debe pagarse tiempo extra.</p>,,
,<p>Cuánto debe pagarse por hora extra.</p>,,
,<p>El pago de tiempo completo y medio tiempo por horas extras.</p>,,
,<p>No establece requisitos para el pago de horas extras</p>,,
<p>Cuál de las siguientes NO ES<strong> </strong>información obligatoria bajo la Ley de Normas Justas de Trabajo (FLSA)?</p>,1,"one, shuffle","<p>El seguro medico NO ES parte de información obligatoria bajo la Ley de Normas Justas de Trabajo. Consulta el Capítulo 3, Leyes laborales fundamentales, página 3-4.</p>"
,<p>Base sobre la cual se paga el salario del empleado.</p>,,
*,<p>Proporcionar seguro médico.</p>,,
,<p>Hora y día en el que comienza la semana laboral.</p>,,
,<p>Deducciones o adiciones a los salarios.</p>,,
<p>Qué requiere la Ley de Normas Justas de Trabajo (FLSA) sobre el mantenimiento de registros?</p>,1,"one, shuffle","<p>La FLSA requiere que los empleadores mantengan registros precisos de las horas trabajadas y el salario pagado a los empleados, asegurando la transparencia y el cumplimiento legal. Consulta el Capítulo 3, Leyes laborales fundamentales, página 3-4.</p>"
*,"<p>FLSA requiere que los empleadores mantengan registros acerca de los salarios, horarios y otros ítems especificados por las regulaciones de mantenimiento.</p>",,
,<p>Requieren que se paguen salarios en el día de pago.</p>,,
,<p>No requiere nada sobre mantenimiento de registros.</p>,,
,<p>Requiere que los empleados mantengan sus propios registros.</p>,,
<p>Cuál de las siguientes es la definición empleado según la Ley de Normas Justas de Trabajo (FLSA)?</p>,1,"one, shuffle","<p>Un empleado es una persona a la que se le permite trabajar, o que proporciona servicios, para un empleador que paga o que acuerda pagar una tarifa fija a dicha persona. Para determinar si una persona es un ""empleado"" y no un contratista independiente, el BOLI aplica un examen de ""realidades económicas"". Consulta el Capítulo 3, Leyes laborales fundamentales, página 3-5.</p>"
*,"<p>Es una persona a la que se le permite trabajar, o que proporciona servicios.</p>",,
,Empleados no exentos,,
,<p>Empleados a tiempo completo</p>,,
,Empleados temporales,,
<p>Cuál de las siguientes opciones es parte de los criterios para determinar el estatus de un contratista bajo la Ley de Normas Justas de Trabajo (FLSA)?</p>,1,"one, shuffle","<p>El grado de control ejercido por el empleador es uno de los criterios para determinar el estatus de un contratista. Consulta el Capítulo 3, Leyes laborales fundamentales, página 3-5.</p>"
*,<p>El grado de control ejercido por el empleador.</p>,,
,<p>Empleado que debe recibir salario mínimo</p>,,
,<p>Empleado temporal</p>,,
,Empleado de nivel de entrada,,
<p>Cuál de las siguientes NO ES un empleado excento de pago por tiempo extra?</p>,1,"one, shuffle","<p>Algunos empleados están exentos de pagos por tiempo extra. Los contratistas independientes no estan excentos. Consulta el Capítulo 3, Leyes laborales fundamentales, página 3-4.</p>"
,<p>Ejecutivos.</p>,,
,<p>Personal administrativo.</p>,,
,<p>Empleados de ventas externos.</p>,,
*,<p>Contratistas Independientes.</p>,,
<p>Qué establece la Ley de Normas Justas de Trabajo (FLSA) sobre el salario mínimo?</p>,1,"one, shuffle","<p>La FLSA exige que un empleador le pague a un empleado por lo menos la tarifa salarial mínima para la región donde se encuentra ubicado el empleador. Consulta el Capítulo 3, Leyes laborales fundamentales, página 3-5.</p>"
,<p>El grado de control ejercido por el empleador.</p>,,
,<p>Establece un salario mínimo para trabajadores agrícolas solamente.</p>,,
*,<p>Exige que un empleador le pague a un empleado por lo menos la tarifa salarial mínima para la región donde se encuentra ubicado el empleador.</p>,,
,<p>Permite que los empleadores decidan el salario mínimo</p>,,
"<p>Cuál de las siguientes NO ES parte de salario, horarios y regulaciones relacionadas de Oregón segun FLSA?</p>",1,"one, shuffle","<p>Las leyes laborales de Oregón no mencionan nada sobre beneficios de retiro. Consulta el Capítulo 3, Leyes laborales fundamentales, páginas 3-4 a 3-6.</p>"
,<p>Permiso por enfermedad.</p>,,
,<p>Descansos y períodos para comer.</p>,,
,<p>Deducciones sobre salarios.</p>,,
*,<p>Beneficios de retiro.</p>,,
