<p>Cuál de los siguientes elementos se incluye generalmente en un documento de propuesta?</p>,1,"one, shuffle","Un documento de propuesta generalmente incluye una descripción detallada del alcance del trabajo. Esta sección define exactamente qué trabajo se realizará, estableciendo expectativas claras entre el contratista y el cliente. Referencia: Capítulo 7, Documentos de propuesta, página 7-2."
,Análisis financiero,,
,Opinión del cliente,,
*,<p>Instrucciones de propuesta</p>,,
,<p>Análisis de riesgo</p>,,
<p>Qué información NO se espera encontrar en un documento de propuesta?</p>,1,"one, shuffle","<p>La opinión personal del contratista no es parte del cronograma de un documento de propuesta. El cronograma debe incluir fechas clave y hitos importantes del proyecto. Referencia: Capítulo 7, Documentos de propuesta, página 7-2.</p>"
,Fechas clave,,
,Hitos importantes,,
*,<p>Opinión personal del contratista</p>,,
,Estrategia de gestión,,
<p>Cuál de los siguientes es un componente clave en un documento de propuesta?</p>,1,"one, shuffle","<p>La invitación, instrucciones y formularios son componentes claves en un documento de propuesta. Este incluye las fechas y plazos importantes que estructuran el desarrollo del proyecto. Referencia: Capítulo 7, Documentos de propuesta, página 7-2.</p>"
,Análisis de mercado,,
*,"<p>Invitación, instrucciones y formularios</p>",,
,Currículum del contratista,,
,<p>Lista de proveedores</p>,,
<p>Cuál de los siguientes NO se considera un componente esencial en un documento de propuesta?</p>,1,"one, shuffle","<p>El currículum del contratista no se considera un componente esencial en un documento de propuesta. Los elementos esenciales suelen incluir el alcance del trabajo, cronograma, y términos y condiciones. Referencia: Capítulo 7, Documentos de propuesta, página 7-2.</p>"
,Alcance del trabajo,,
*,Currículum del contratista,,
,Cronograma,,
,Términos y condiciones,,
<p>Qué elemento no es típico encontrar en un documento de propuesta?</p>,1,"one, shuffle","El análisis de la competencia no es típicamente parte de un documento de propuesta. Los documentos de propuesta se centran en el alcance del trabajo, cronograma y términos y condiciones. Referencia: Capítulo 7, Documentos de propuesta, página 7-7."
,<p>Descripción del trabajo a realizar</p>,,
,Cronograma,,
*,Análisis de la competencia,,
,<p>Programa de la propuesta</p>,,
<p>Qué debe incluirse en la descripción del alcance del trabajo en un documento de propuesta?</p>,1,"one, shuffle","<p>La descripción del alcance del trabajo debe detallar las tareas específicas a realizar y los resultados esperados. Esto asegura claridad y expectativas definidas entre las partes. Referencia: Capítulo 7, Documentos de propuesta, página 7-2.</p>"
,Opinión del cliente,,
*,Las tareas específicas a realizar,,
,La estrategia de marketing,,
,El análisis financiero,,
<p>Qué se debe detallar en los términos y condiciones de un documento de propuesta?</p>,1,"one, shuffle","<p>Los términos y condiciones deben detallar los derechos y obligaciones de ambas partes, incluyendo plazos de pago y condiciones de trabajo. Esto asegura un acuerdo claro y ejecutable. Referencia: Capítulo 7, Documentos de propuesta, página 7-2.</p>"
,Estrategia de mercado,,
*,Derechos y obligaciones de ambas partes,,
,Análisis del entorno,,
,Plan de marketing,,
<p>Cuál de las siguientes NO es una práctica ética en la propuesta?</p>,1,"one, shuffle","<p>No es ético ofrecer sobornos o incentivos inapropiados para asegurar un contrato. La ética en la propuesta requiere transparencia, honestidad y competencia justa. Referencia: Capítulo 7, Ética en la propuesta, página 7-2.</p>"
,Presentar estimaciones precisas,,
*,<p>Compra o venta de propuestas</p>,,
,Competir de manera justa,,
,Ser transparente en la comunicación,,
<p>Cuál de los siguientes es un principio ético en la propuesta?</p>,1,"one, shuffle","Es fundamental mantener la honestidad en todas las fases del proceso de propuesta. Esto asegura la integridad del contratista y promueve la confianza del cliente. Referencia: Capítulo 7, Ética en la propuesta, página 7-2."
*,Mantener la honestidad,,
,<p>Ocultar costos reales</p>,,
,Ofrecer incentivos inapropiados,,
