<p>Cuál de las siguientes NO ES una función de la Junta de Contratistas de la Construcción de Oregón?</p>,1,"one, shuffle","<p>La Junta de Contratistas de la Construcción de Oregón no tiene la función de inspeccionar obras de construcción. Sus funciones incluyen establecer políticas, supervisar al administrador y revisar apelaciones. Consulta el Capítulo 1, La Junta de Contratistas de la Construcción, páginas 1-1, 1-2.</p>"
,<p>Establecer una política e implementar la legislación.</p>,,
,Supervisar al administrador,,
*,<p>Inspeccionar obras de construcción</p>,,
,Revisar apelaciones,,
<p>Cuál de las siguientes NO ES un paso para obtener una licencia de contratista en Oregón?</p>,1,"one, shuffle","<p>No se requiere un título universitario para obtener una licencia de contratista en Oregón. Los contratistas deben tener una fianza de seguridad, un seguro de responsabilidad general y completar la capacitación requerida. Consulta el Capítulo 1, Proceso de obtención de licencias, páginas 1-3, 1-4.</p>"
,<p>Fianza de garantia</p>,,
,<p>Seguro de compensacion a los trabajadores</p>,,
,<p>Capacitación y presentación del examen</p>,,
*,Título universitario,,
<p>Cuál es la entidad responsable de otorgar licencias a los contratistas en Oregón?</p>,1,"one, shuffle","La Junta de Contratistas de la Construcción (CCB) es responsable de otorgar licencias a los contratistas en Oregón. Esta entidad supervisa el cumplimiento de las leyes y regula las actividades de los contratistas. Consulta el Capítulo 1, Concesión general de licencias de contratistas, página 1-1."
,Junta de Contratistas del Estado de Oregón,,
,Departamento de Construcción y Vivienda,,
,Agencia de Licencias Comerciales,,
*,<p>Junta de Contratistas de la Construcción</p>,,
<p>Cuántos miembros conforman la Junta de Contratistas de la Construcción de Oregón?</p>,1,"one, shuffle","La Junta de Contratistas de la Construcción de Oregón está conformada por nueve miembros, que son nombrados por el gobernador y ratificados por el senado. Consulta el Capítulo 1, La Junta de Contratistas de la Construcción, página 1-1."
*,<p>Nueve</p>,,
,Seis,,
,Doce,,
,Quince,,
<p>Cuál de las siguientes NO DEBE de tener una licencia de contratista en Oregón?</p>,1,"one, shuffle","<p>Los inspectores del código de construcción no necesitan una licencia de la CCB. Los contratistas que requieren licencia incluyen constructores de edificios, servicios de poda de árboles y empresas de inspección de viviendas. Consulta el Capítulo 1, ¿Quién debe tener una licencia?, página 1-2.</p>"
,<p>Servicio y limpieza de chimeneas</p>,,
,Servicios de poda de árboles,,
*,<p>Inspectores del código de construcción</p>,,
,<p>Negocio de inspección de viviendas</p>,,
<p>Qué debe hacer un contratista para mantener su licencia activa en Oregón?</p>,1,"one, shuffle","Para mantener una licencia activa, un contratista debe notificar cualquier cambio en su dirección a la CCB dentro de los 10 días, mantener la fianza y el seguro, y cumplir con los requisitos de educación continua. Consulta el Capítulo 1, Mantener una licencia de contratista, página 1-8."
*,<p>Notificar cambios de dirección</p>,,
,Comprar nueva maquinaria,,
,Contratar más empleados,,
,Aumentar la cobertura de seguro cada año,,
<p>Cuál de las siguientes NO ES una razón válida para que un contratista sea exento de tener una licencia en Oregón?</p>,1,"one, shuffle","<p>La construcción de una estructura para venderla no exime a un propietario de tener una licencia de contratista. Los propietarios que contraten contratistas con licencia o que trabajen en propiedades propias pueden estar exentos. Consulta el Capítulo 1, Contratistas exentos de licencias, páginas 1-2 y 1-3.</p>"
,<p>Contratista de paisajismo</p>,,
,Trabajar en una propiedad propia,,
,"<p>Trabajar en proyectos que su precio acumulativo sea por menos de $1,000</p>",,
*,Construir una estructura para venderla,,
<p>Cuál es el monto mínimo de la fianza requerida para un contratista comercial general nivel 1 en Oregón?</p>,1,"one, shuffle","El monto mínimo de la fianza requerida para un contratista comercial general nivel 1 en Oregón es de $75,000. Esto asegura que los contratistas puedan cubrir reclamos en caso de incumplimiento. Consulta el Capítulo 1, Requisitos de fianzas, página 1-7."
,"$50,000",,
*,"$75,000",,
,"$100,000",,
,"<p>$20,000</p>",,
